,bigrams,counts
452,"('Freestone,Dean R.', 'Richardson,Mark P.')",4
453,"('Freestone,Dean R.', 'Schulze-Bonhage,Andreas')",1
454,"('Freestone,Dean R.', 'Worrell,Gregory A.')",2
455,"('Grayden,David B.', 'Maturana,Matias I.')",1
456,"('Grayden,David B.', 'Nurse,Ewan S.')",3
457,"('Grayden,David B.', 'Payne,Daniel E.')",3
458,"('Grayden,David B.', 'Richardson,Mark P.')",3
459,"('Grayden,David B.', 'Schulze-Bonhage,Andreas')",1
460,"('Grayden,David B.', 'Worrell,Gregory A.')",2
461,"('Karoly,Philippa J.', 'Maturana,Matias I.')",1
462,"('Karoly,Philippa J.', 'Nurse,Ewan S.')",4
463,"('Karoly,Philippa J.', 'Payne,Daniel E.')",3
464,"('Karoly,Philippa J.', 'Richardson,Mark P.')",4
465,"('Karoly,Philippa J.', 'Schulze-Bonhage,Andreas')",1
466,"('Karoly,Philippa J.', 'Worrell,Gregory A.')",2
467,"('Kuhlmann,Levin', 'Maturana,Matias I.')",1
468,"('Kuhlmann,Levin', 'Nurse,Ewan S.')",1
469,"('Kuhlmann,Levin', 'Payne,Daniel E.')",2
470,"('Kuhlmann,Levin', 'Richardson,Mark P.')",1
471,"('Kuhlmann,Levin', 'Schulze-Bonhage,Andreas')",1
472,"('Kuhlmann,Levin', 'Worrell,Gregory A.')",2
473,"('Maturana,Matias I.', 'Nurse,Ewan S.')",1
474,"('Maturana,Matias I.', 'Payne,Daniel E.')",1
475,"('Maturana,Matias I.', 'Richardson,Mark P.')",1
476,"('Maturana,Matias I.', 'Schulze-Bonhage,Andreas')",1
477,"('Maturana,Matias I.', 'Worrell,Gregory A.')",1
478,"('Nurse,Ewan S.', 'Payne,Daniel E.')",2
479,"('Nurse,Ewan S.', 'Richardson,Mark P.')",4
480,"('Nurse,Ewan S.', 'Schulze-Bonhage,Andreas')",1
481,"('Nurse,Ewan S.', 'Worrell,Gregory A.')",1
482,"('Payne,Daniel E.', 'Richardson,Mark P.')",2
483,"('Payne,Daniel E.', 'Schulze-Bonhage,Andreas')",1
484,"('Payne,Daniel E.', 'Worrell,Gregory A.')",2
485,"('Richardson,Mark P.', 'Schulze-Bonhage,Andreas')",1
486,"('Richardson,Mark P.', 'Worrell,Gregory A.')",1
487,"('Schulze-Bonhage,Andreas', 'Worrell,Gregory A.')",1
488,"('Cook,Mark J.', 'Goldenholz,Daniel M.')",2
489,"('Cook,Mark J.', 'Moss,Robert E.')",2
490,"('Cook,Mark J.', 'Theodore,William H.')",2
491,"('Freestone,Dean R.', 'Goldenholz,Daniel M.')",1
492,"('Freestone,Dean R.', 'Moss,Robert E.')",1
493,"('Freestone,Dean R.', 'Theodore,William H.')",1
494,"('Goldenholz,Daniel M.', 'Grayden,David B.')",1
495,"('Goldenholz,Daniel M.', 'Karoly,Philippa J.')",2
496,"('Grayden,David B.', 'Moss,Robert E.')",1
497,"('Grayden,David B.', 'Theodore,William H.')",1
498,"('Karoly,Philippa J.', 'Moss,Robert E.')",2
499,"('Karoly,Philippa J.', 'Theodore,William H.')",2
500,"('Brinkmann,Benjamin H.', 'Eden,Dominique')",1
501,"('Brinkmann,Benjamin H.', 'Taylor,Janelle')",1
502,"('Cook,Mark J.', 'Eden,Dominique')",1
503,"('Cook,Mark J.', 'Taylor,Janelle')",1
504,"('Dumanis,Sonya B.', 'Eden,Dominique')",1
505,"('Dumanis,Sonya B.', 'Taylor,Janelle')",1
506,"('Eden,Dominique', 'Freestone,Dean R.')",1
507,"('Eden,Dominique', 'Karoly,Philippa J.')",1
508,"('Eden,Dominique', 'Nurse,Ewan S.')",1
509,"('Eden,Dominique', 'Richardson,Mark P.')",1
510,"('Eden,Dominique', 'Taylor,Janelle')",1
511,"('Freestone,Dean R.', 'Taylor,Janelle')",1
512,"('Karoly,Philippa J.', 'Taylor,Janelle')",1
513,"('Nurse,Ewan S.', 'Taylor,Janelle')",1
514,"('Richardson,Mark P.', 'Taylor,Janelle')",1
515,"('Cook,Mark J.', 'Dell,Katrina L.')",1
516,"('Cook,Mark J.', 'Gerla,Vaclav')",1
517,"('Cook,Mark J.', 'Kremen,Vaclav')",1
518,"('Dell,Katrina L.', 'Freestone,Dean R.')",1
519,"('Dell,Katrina L.', 'Gerla,Vaclav')",1
520,"('Dell,Katrina L.', 'Grayden,David B.')",1
521,"('Dell,Katrina L.', 'Karoly,Philippa J.')",1
522,"('Dell,Katrina L.', 'Kremen,Vaclav')",1
523,"('Dell,Katrina L.', 'Kuhlmann,Levin')",1
524,"('Dell,Katrina L.', 'Payne,Daniel E.')",1
525,"('Dell,Katrina L.', 'Worrell,Gregory A.')",1
526,"('Freestone,Dean R.', 'Gerla,Vaclav')",1
527,"('Freestone,Dean R.', 'Kremen,Vaclav')",1
528,"('Gerla,Vaclav', 'Grayden,David B.')",1
529,"('Gerla,Vaclav', 'Karoly,Philippa J.')",1
530,"('Gerla,Vaclav', 'Kremen,Vaclav')",1
531,"('Gerla,Vaclav', 'Kuhlmann,Levin')",1
532,"('Gerla,Vaclav', 'Payne,Daniel E.')",1
533,"('Gerla,Vaclav', 'Worrell,Gregory A.')",1
534,"('Grayden,David B.', 'Kremen,Vaclav')",1
535,"('Karoly,Philippa J.', 'Kremen,Vaclav')",1
536,"('Kremen,Vaclav', 'Kuhlmann,Levin')",1
537,"('Kremen,Vaclav', 'Payne,Daniel E.')",1
538,"('Kremen,Vaclav', 'Worrell,Gregory A.')",2
539,"('Brinkmann,Benjamin H.', 'Cimbalnik,Jan')",1
540,"('Brinkmann,Benjamin H.', 'Guragain,Hari')",1
541,"('Brinkmann,Benjamin H.', 'Klimes,Petr')",1
542,"('Brinkmann,Benjamin H.', 'Kremen,Vaclav')",1
543,"('Brinkmann,Benjamin H.', 'Nasseri,Mona')",1
544,"('Brinkmann,Benjamin H.', 'Nejedly,Petr')",1
545,"('Brinkmann,Benjamin H.', 'Sladky,Vladimir')",1
546,"('Brinkmann,Benjamin H.', 'Varatharajah,Yogatheesan')",2
547,"('Cimbalnik,Jan', 'Guragain,Hari')",1
548,"('Cimbalnik,Jan', 'Klimes,Petr')",1
549,"('Cimbalnik,Jan', 'Kremen,Vaclav')",1
550,"('Cimbalnik,Jan', 'Nasseri,Mona')",1
551,"('Cimbalnik,Jan', 'Nejedly,Petr')",1
552,"('Cimbalnik,Jan', 'Sladky,Vladimir')",1
553,"('Cimbalnik,Jan', 'Varatharajah,Yogatheesan')",1
554,"('Cimbalnik,Jan', 'Worrell,Gregory A.')",1
555,"('Guragain,Hari', 'Klimes,Petr')",1
556,"('Guragain,Hari', 'Kremen,Vaclav')",1
557,"('Guragain,Hari', 'Nasseri,Mona')",1
558,"('Guragain,Hari', 'Nejedly,Petr')",1
559,"('Guragain,Hari', 'Sladky,Vladimir')",1
560,"('Guragain,Hari', 'Varatharajah,Yogatheesan')",1
561,"('Guragain,Hari', 'Worrell,Gregory A.')",1
562,"('Klimes,Petr', 'Kremen,Vaclav')",1
563,"('Klimes,Petr', 'Nasseri,Mona')",1
564,"('Klimes,Petr', 'Nejedly,Petr')",1
565,"('Klimes,Petr', 'Sladky,Vladimir')",1
566,"('Klimes,Petr', 'Varatharajah,Yogatheesan')",1
567,"('Klimes,Petr', 'Worrell,Gregory A.')",1
568,"('Kremen,Vaclav', 'Nasseri,Mona')",1
569,"('Kremen,Vaclav', 'Nejedly,Petr')",1
570,"('Kremen,Vaclav', 'Sladky,Vladimir')",1
571,"('Kremen,Vaclav', 'Varatharajah,Yogatheesan')",1
572,"('Nasseri,Mona', 'Nejedly,Petr')",1
573,"('Nasseri,Mona', 'Sladky,Vladimir')",1
574,"('Nasseri,Mona', 'Varatharajah,Yogatheesan')",1
575,"('Nasseri,Mona', 'Worrell,Gregory A.')",1
576,"('Nejedly,Petr', 'Sladky,Vladimir')",1
577,"('Nejedly,Petr', 'Varatharajah,Yogatheesan')",1
578,"('Nejedly,Petr', 'Worrell,Gregory A.')",1
579,"('Sladky,Vladimir', 'Varatharajah,Yogatheesan')",1
580,"('Sladky,Vladimir', 'Worrell,Gregory A.')",1
581,"('Varatharajah,Yogatheesan', 'Worrell,Gregory A.')",2
582,"('Kockler,Michael', 'Rakers,Florian')",1
583,"('Kockler,Michael', 'Rasche,Marius')",1
584,"('Kockler,Michael', 'Rupprecht,Sven')",1
585,"('Kockler,Michael', 'Schiffner,Rene')",1
586,"('Kockler,Michael', 'Schlattmann,Peter')",1
587,"('Kockler,Michael', 'Schwab,Matthias')",1
588,"('Kockler,Michael', 'Walther,Mario')",1
589,"('Kockler,Michael', 'Witte,Otto W.')",1
590,"('Rakers,Florian', 'Rasche,Marius')",1
591,"('Rakers,Florian', 'Rupprecht,Sven')",1
592,"('Rakers,Florian', 'Schiffner,Rene')",1
593,"('Rakers,Florian', 'Schlattmann,Peter')",1
594,"('Rakers,Florian', 'Schwab,Matthias')",1
595,"('Rakers,Florian', 'Walther,Mario')",1
596,"('Rakers,Florian', 'Witte,Otto W.')",1
597,"('Rasche,Marius', 'Rupprecht,Sven')",1
598,"('Rasche,Marius', 'Schiffner,Rene')",1
599,"('Rasche,Marius', 'Schlattmann,Peter')",1
600,"('Rasche,Marius', 'Schwab,Matthias')",1
601,"('Rasche,Marius', 'Walther,Mario')",1
602,"('Rasche,Marius', 'Witte,Otto W.')",1
603,"('Rupprecht,Sven', 'Schiffner,Rene')",1
604,"('Rupprecht,Sven', 'Schlattmann,Peter')",1
605,"('Rupprecht,Sven', 'Schwab,Matthias')",1
606,"('Rupprecht,Sven', 'Walther,Mario')",1
607,"('Rupprecht,Sven', 'Witte,Otto W.')",1
608,"('Schiffner,Rene', 'Schlattmann,Peter')",1
609,"('Schiffner,Rene', 'Schwab,Matthias')",1
610,"('Schiffner,Rene', 'Walther,Mario')",1
611,"('Schiffner,Rene', 'Witte,Otto W.')",1
612,"('Schlattmann,Peter', 'Schwab,Matthias')",1
613,"('Schlattmann,Peter', 'Walther,Mario')",1
614,"('Schlattmann,Peter', 'Witte,Otto W.')",1
615,"('Schwab,Matthias', 'Walther,Mario')",1
616,"('Schwab,Matthias', 'Witte,Otto W.')",1
617,"('Walther,Mario', 'Witte,Otto W.')",1
618,"('Feldwisch-Drentrup,Hinnerk', 'Ihle,Matthias')",1
619,"('Ihle,Matthias', 'Schelter,Bjorn')",1
620,"('Ihle,Matthias', 'Schulze-Bonhage,Andreas')",2
621,"('Ihle,Matthias', 'Timmer,Jens')",1
622,"('Carius,Astrid', 'Ihle,Matthias')",1
623,"('Carius,Astrid', 'Sales,Francisco')",1
624,"('Carius,Astrid', 'Schelle,Annette')",1
625,"('Carius,Astrid', 'Schulze-Bonhage,Andreas')",1
626,"('Carius,Astrid', 'Teotonio,Rute')",1
627,"('Carius,Astrid', 'Wagner,Kathrin')",1
628,"('Ihle,Matthias', 'Sales,Francisco')",1
629,"('Ihle,Matthias', 'Schelle,Annette')",1
630,"('Ihle,Matthias', 'Teotonio,Rute')",1
631,"('Ihle,Matthias', 'Wagner,Kathrin')",1
632,"('Sales,Francisco', 'Schelle,Annette')",1
633,"('Sales,Francisco', 'Schulze-Bonhage,Andreas')",1
634,"('Sales,Francisco', 'Teotonio,Rute')",1
635,"('Sales,Francisco', 'Wagner,Kathrin')",1
636,"('Schelle,Annette', 'Schulze-Bonhage,Andreas')",1
637,"('Schelle,Annette', 'Teotonio,Rute')",1
638,"('Schelle,Annette', 'Wagner,Kathrin')",1
639,"('Schulze-Bonhage,Andreas', 'Teotonio,Rute')",1
640,"('Schulze-Bonhage,Andreas', 'Wagner,Kathrin')",1
641,"('Teotonio,Rute', 'Wagner,Kathrin')",1
642,"('Martins da Silva,Antonio', 'Sammaritano,Michele')",1
643,"('Martins da Silva,Antonio', 'Shouse,Margaret N.')",1
644,"('Sammaritano,Michele', 'Shouse,Margaret N.')",1
645,"('Baud,Maxime O.', 'Leguia,Marc G')",1
646,"('Baud,Maxime O.', 'Proix,Timothee')",2
647,"('Baud,Maxime O.', 'Tcheng,Thomas K')",1
648,"('Baud,Maxime O.', 'Truccolo,Wilson')",1
649,"('King-Stephens,David', 'Leguia,Marc G')",1
650,"('King-Stephens,David', 'Proix,Timothee')",1
651,"('King-Stephens,David', 'Tcheng,Thomas K')",1
652,"('King-Stephens,David', 'Truccolo,Wilson')",1
653,"('Leguia,Marc G', 'Proix,Timothee')",1
654,"('Leguia,Marc G', 'Rao,Vikram R.')",1
655,"('Leguia,Marc G', 'Tcheng,Thomas K')",1
656,"('Leguia,Marc G', 'Truccolo,Wilson')",1
657,"('Proix,Timothee', 'Rao,Vikram R.')",2
658,"('Proix,Timothee', 'Tcheng,Thomas K')",1
659,"('Proix,Timothee', 'Truccolo,Wilson')",1
660,"('Rao,Vikram R.', 'Tcheng,Thomas K')",1
661,"('Rao,Vikram R.', 'Truccolo,Wilson')",1
662,"('Tcheng,Thomas K', 'Truccolo,Wilson')",1
663,"('Cook,Mark J.', 'Stirling,Rachel E.')",3
664,"('Grayden,David B.', 'Stirling,Rachel E.')",3
665,"('Karoly,Philippa J.', 'Stirling,Rachel E.')",3
666,"('Brinkmann,Benjamin H.', 'Bulluss,K. J.')",1
667,"('Brinkmann,Benjamin H.', 'Cameron,T. L.')",1
668,"('Brinkmann,Benjamin H.', ""D'Souza,Wendyl"")",2
669,"('Brinkmann,Benjamin H.', 'Heasman,J.')",1
670,"('Brinkmann,Benjamin H.', 'Hoare,R. J.')",1
671,"('Brinkmann,Benjamin H.', 'Lai,A.')",1
672,"('Brinkmann,Benjamin H.', 'McCutcheon,K.')",1
673,"('Brinkmann,Benjamin H.', 'McLean,K. J.')",1
674,"('Brinkmann,Benjamin H.', 'Murphy,Michael')",1
675,"('Brinkmann,Benjamin H.', 'Mutarana,M. I.')",1
676,"('Brinkmann,Benjamin H.', 'Ringo,S. G.')",1
677,"('Brinkmann,Benjamin H.', 'Seiderer,L.')",1
678,"('Brinkmann,Benjamin H.', 'Seneviratne,U.')",1
679,"('Brinkmann,Benjamin H.', 'Stirling,Rachel E.')",2
680,"('Bulluss,K. J.', 'Cameron,T. L.')",1
681,"('Bulluss,K. J.', 'Cook,Mark J.')",1
682,"('Bulluss,K. J.', ""D'Souza,Wendyl"")",1
683,"('Bulluss,K. J.', 'Freestone,Dean R.')",1
684,"('Bulluss,K. J.', 'Grayden,David B.')",1
685,"('Bulluss,K. J.', 'Heasman,J.')",1
686,"('Bulluss,K. J.', 'Hoare,R. J.')",1
687,"('Bulluss,K. J.', 'Karoly,Philippa J.')",1
688,"('Bulluss,K. J.', 'Lai,A.')",1
689,"('Bulluss,K. J.', 'McCutcheon,K.')",1
690,"('Bulluss,K. J.', 'McLean,K. J.')",1
691,"('Bulluss,K. J.', 'Murphy,Michael')",1
692,"('Bulluss,K. J.', 'Mutarana,M. I.')",1
693,"('Bulluss,K. J.', 'Nurse,Ewan S.')",1
694,"('Bulluss,K. J.', 'Richardson,Mark P.')",1
695,"('Bulluss,K. J.', 'Ringo,S. G.')",1
696,"('Bulluss,K. J.', 'Seiderer,L.')",1
697,"('Bulluss,K. J.', 'Seneviratne,U.')",1
698,"('Bulluss,K. J.', 'Stirling,Rachel E.')",1
699,"('Cameron,T. L.', 'Cook,Mark J.')",1
700,"('Cameron,T. L.', ""D'Souza,Wendyl"")",1
701,"('Cameron,T. L.', 'Freestone,Dean R.')",1
702,"('Cameron,T. L.', 'Grayden,David B.')",1
703,"('Cameron,T. L.', 'Heasman,J.')",1
704,"('Cameron,T. L.', 'Hoare,R. J.')",1
705,"('Cameron,T. L.', 'Karoly,Philippa J.')",1
706,"('Cameron,T. L.', 'Lai,A.')",1
707,"('Cameron,T. L.', 'McCutcheon,K.')",1
708,"('Cameron,T. L.', 'McLean,K. J.')",1
709,"('Cameron,T. L.', 'Murphy,Michael')",1
710,"('Cameron,T. L.', 'Mutarana,M. I.')",1
711,"('Cameron,T. L.', 'Nurse,Ewan S.')",1
712,"('Cameron,T. L.', 'Richardson,Mark P.')",1
713,"('Cameron,T. L.', 'Ringo,S. G.')",1
714,"('Cameron,T. L.', 'Seiderer,L.')",1
715,"('Cameron,T. L.', 'Seneviratne,U.')",1
716,"('Cameron,T. L.', 'Stirling,Rachel E.')",1
717,"('Cook,Mark J.', 'Heasman,J.')",1
718,"('Cook,Mark J.', 'Hoare,R. J.')",1
719,"('Cook,Mark J.', 'Lai,A.')",1
720,"('Cook,Mark J.', 'McCutcheon,K.')",1
721,"('Cook,Mark J.', 'McLean,K. J.')",1
722,"('Cook,Mark J.', 'Mutarana,M. I.')",1
723,"('Cook,Mark J.', 'Ringo,S. G.')",1
724,"('Cook,Mark J.', 'Seiderer,L.')",1
725,"('Cook,Mark J.', 'Seneviratne,U.')",1
726,"(""D'Souza,Wendyl"", 'Freestone,Dean R.')",2
727,"(""D'Souza,Wendyl"", 'Grayden,David B.')",2
728,"(""D'Souza,Wendyl"", 'Heasman,J.')",1
729,"(""D'Souza,Wendyl"", 'Hoare,R. J.')",1
730,"(""D'Souza,Wendyl"", 'Karoly,Philippa J.')",2
731,"(""D'Souza,Wendyl"", 'Lai,A.')",1
732,"(""D'Souza,Wendyl"", 'McCutcheon,K.')",1
733,"(""D'Souza,Wendyl"", 'McLean,K. J.')",1
734,"(""D'Souza,Wendyl"", 'Mutarana,M. I.')",1
735,"(""D'Souza,Wendyl"", 'Nurse,Ewan S.')",2
736,"(""D'Souza,Wendyl"", 'Richardson,Mark P.')",2
737,"(""D'Souza,Wendyl"", 'Ringo,S. G.')",1
738,"(""D'Souza,Wendyl"", 'Seiderer,L.')",1
739,"(""D'Souza,Wendyl"", 'Seneviratne,U.')",1
740,"(""D'Souza,Wendyl"", 'Stirling,Rachel E.')",2
741,"('Freestone,Dean R.', 'Heasman,J.')",1
742,"('Freestone,Dean R.', 'Hoare,R. J.')",1
743,"('Freestone,Dean R.', 'Lai,A.')",1
744,"('Freestone,Dean R.', 'McCutcheon,K.')",1
745,"('Freestone,Dean R.', 'McLean,K. J.')",1
746,"('Freestone,Dean R.', 'Murphy,Michael')",1
747,"('Freestone,Dean R.', 'Mutarana,M. I.')",1
748,"('Freestone,Dean R.', 'Ringo,S. G.')",1
749,"('Freestone,Dean R.', 'Seiderer,L.')",1
750,"('Freestone,Dean R.', 'Seneviratne,U.')",1
751,"('Freestone,Dean R.', 'Stirling,Rachel E.')",2
752,"('Grayden,David B.', 'Heasman,J.')",1
753,"('Grayden,David B.', 'Hoare,R. J.')",1
754,"('Grayden,David B.', 'Lai,A.')",1
755,"('Grayden,David B.', 'McCutcheon,K.')",1
756,"('Grayden,David B.', 'McLean,K. J.')",1
757,"('Grayden,David B.', 'Murphy,Michael')",1
758,"('Grayden,David B.', 'Mutarana,M. I.')",1
759,"('Grayden,David B.', 'Ringo,S. G.')",1
760,"('Grayden,David B.', 'Seiderer,L.')",1
761,"('Grayden,David B.', 'Seneviratne,U.')",1
762,"('Heasman,J.', 'Hoare,R. J.')",1
763,"('Heasman,J.', 'Karoly,Philippa J.')",1
764,"('Heasman,J.', 'Lai,A.')",1
765,"('Heasman,J.', 'McCutcheon,K.')",1
766,"('Heasman,J.', 'McLean,K. J.')",1
767,"('Heasman,J.', 'Murphy,Michael')",1
768,"('Heasman,J.', 'Mutarana,M. I.')",1
769,"('Heasman,J.', 'Nurse,Ewan S.')",1
770,"('Heasman,J.', 'Richardson,Mark P.')",1
771,"('Heasman,J.', 'Ringo,S. G.')",1
772,"('Heasman,J.', 'Seiderer,L.')",1
773,"('Heasman,J.', 'Seneviratne,U.')",1
774,"('Heasman,J.', 'Stirling,Rachel E.')",1
775,"('Hoare,R. J.', 'Karoly,Philippa J.')",1
776,"('Hoare,R. J.', 'Lai,A.')",1
777,"('Hoare,R. J.', 'McCutcheon,K.')",1
778,"('Hoare,R. J.', 'McLean,K. J.')",1
779,"('Hoare,R. J.', 'Murphy,Michael')",1
780,"('Hoare,R. J.', 'Mutarana,M. I.')",1
781,"('Hoare,R. J.', 'Nurse,Ewan S.')",1
782,"('Hoare,R. J.', 'Richardson,Mark P.')",1
783,"('Hoare,R. J.', 'Ringo,S. G.')",1
784,"('Hoare,R. J.', 'Seiderer,L.')",1
785,"('Hoare,R. J.', 'Seneviratne,U.')",1
786,"('Hoare,R. J.', 'Stirling,Rachel E.')",1
787,"('Karoly,Philippa J.', 'Lai,A.')",1
788,"('Karoly,Philippa J.', 'McCutcheon,K.')",1
789,"('Karoly,Philippa J.', 'McLean,K. J.')",1
790,"('Karoly,Philippa J.', 'Murphy,Michael')",1
791,"('Karoly,Philippa J.', 'Mutarana,M. I.')",1
792,"('Karoly,Philippa J.', 'Ringo,S. G.')",1
793,"('Karoly,Philippa J.', 'Seiderer,L.')",1
794,"('Karoly,Philippa J.', 'Seneviratne,U.')",1
795,"('Lai,A.', 'McCutcheon,K.')",1
796,"('Lai,A.', 'McLean,K. J.')",1
797,"('Lai,A.', 'Murphy,Michael')",1
798,"('Lai,A.', 'Mutarana,M. I.')",1
799,"('Lai,A.', 'Nurse,Ewan S.')",1
800,"('Lai,A.', 'Richardson,Mark P.')",1
801,"('Lai,A.', 'Ringo,S. G.')",1
802,"('Lai,A.', 'Seiderer,L.')",1
803,"('Lai,A.', 'Seneviratne,U.')",1
804,"('Lai,A.', 'Stirling,Rachel E.')",1
805,"('McCutcheon,K.', 'McLean,K. J.')",1
806,"('McCutcheon,K.', 'Murphy,Michael')",1
807,"('McCutcheon,K.', 'Mutarana,M. I.')",1
808,"('McCutcheon,K.', 'Nurse,Ewan S.')",1
809,"('McCutcheon,K.', 'Richardson,Mark P.')",1
810,"('McCutcheon,K.', 'Ringo,S. G.')",1
811,"('McCutcheon,K.', 'Seiderer,L.')",1
812,"('McCutcheon,K.', 'Seneviratne,U.')",1
813,"('McCutcheon,K.', 'Stirling,Rachel E.')",1
814,"('McLean,K. J.', 'Murphy,Michael')",1
815,"('McLean,K. J.', 'Mutarana,M. I.')",1
816,"('McLean,K. J.', 'Nurse,Ewan S.')",1
817,"('McLean,K. J.', 'Richardson,Mark P.')",1
818,"('McLean,K. J.', 'Ringo,S. G.')",1
819,"('McLean,K. J.', 'Seiderer,L.')",1
820,"('McLean,K. J.', 'Seneviratne,U.')",1
821,"('McLean,K. J.', 'Stirling,Rachel E.')",1
822,"('Murphy,Michael', 'Mutarana,M. I.')",1
823,"('Murphy,Michael', 'Nurse,Ewan S.')",1
824,"('Murphy,Michael', 'Richardson,Mark P.')",1
825,"('Murphy,Michael', 'Ringo,S. G.')",1
826,"('Murphy,Michael', 'Seiderer,L.')",1
827,"('Murphy,Michael', 'Seneviratne,U.')",1
828,"('Murphy,Michael', 'Stirling,Rachel E.')",1
829,"('Mutarana,M. I.', 'Nurse,Ewan S.')",1
830,"('Mutarana,M. I.', 'Richardson,Mark P.')",1
831,"('Mutarana,M. I.', 'Ringo,S. G.')",1
832,"('Mutarana,M. I.', 'Seiderer,L.')",1
833,"('Mutarana,M. I.', 'Seneviratne,U.')",1
834,"('Mutarana,M. I.', 'Stirling,Rachel E.')",1
835,"('Nurse,Ewan S.', 'Ringo,S. G.')",1
836,"('Nurse,Ewan S.', 'Seiderer,L.')",1
837,"('Nurse,Ewan S.', 'Seneviratne,U.')",1
838,"('Nurse,Ewan S.', 'Stirling,Rachel E.')",2
839,"('Richardson,Mark P.', 'Ringo,S. G.')",1
840,"('Richardson,Mark P.', 'Seiderer,L.')",1
841,"('Richardson,Mark P.', 'Seneviratne,U.')",1
842,"('Richardson,Mark P.', 'Stirling,Rachel E.')",2
843,"('Ringo,S. G.', 'Seiderer,L.')",1
844,"('Ringo,S. G.', 'Seneviratne,U.')",1
845,"('Ringo,S. G.', 'Stirling,Rachel E.')",1
846,"('Seiderer,L.', 'Seneviratne,U.')",1
847,"('Seiderer,L.', 'Stirling,Rachel E.')",1
848,"('Seneviratne,U.', 'Stirling,Rachel E.')",1
849,"('Davis,Gay R.', 'Temkin,Nancy R.')",1
850,"('Attia,Tal Pal', 'Brinkmann,Benjamin H.')",1
851,"('Attia,Tal Pal', 'Cook,Mark J.')",1
852,"('Attia,Tal Pal', ""D'Souza,Wendyl"")",1
853,"('Attia,Tal Pal', 'Freestone,Dean R.')",1
854,"('Attia,Tal Pal', 'Grayden,David B.')",1
855,"('Attia,Tal Pal', 'Karoly,Philippa J.')",1
856,"('Attia,Tal Pal', 'Nurse,Ewan S.')",1
857,"('Attia,Tal Pal', 'Payne,Daniel E.')",1
858,"('Attia,Tal Pal', 'Richardson,Mark P.')",1
859,"('Attia,Tal Pal', 'Stirling,Rachel E.')",1
860,"('Attia,Tal Pal', 'Viana,Pedro F.')",1
861,"('Brinkmann,Benjamin H.', 'Viana,Pedro F.')",1
862,"('Cook,Mark J.', 'Viana,Pedro F.')",1
863,"(""D'Souza,Wendyl"", 'Payne,Daniel E.')",1
864,"(""D'Souza,Wendyl"", 'Viana,Pedro F.')",1
865,"('Freestone,Dean R.', 'Viana,Pedro F.')",1
866,"('Grayden,David B.', 'Viana,Pedro F.')",1
867,"('Karoly,Philippa J.', 'Viana,Pedro F.')",1
868,"('Nurse,Ewan S.', 'Viana,Pedro F.')",1
869,"('Payne,Daniel E.', 'Stirling,Rachel E.')",1
870,"('Payne,Daniel E.', 'Viana,Pedro F.')",1
871,"('Richardson,Mark P.', 'Viana,Pedro F.')",1
872,"('Stirling,Rachel E.', 'Viana,Pedro F.')",1
873,"('Cook,Mark J.', 'Kameneva,Tatiana')",1
874,"('Cook,Mark J.', 'Lambert,Elisabeth')",1
875,"('Cook,Mark J.', 'Xiong,Wenjuan')",1
876,"('Kameneva,Tatiana', 'Lambert,Elisabeth')",1
877,"('Kameneva,Tatiana', 'Nurse,Ewan S.')",1
878,"('Kameneva,Tatiana', 'Xiong,Wenjuan')",1
879,"('Lambert,Elisabeth', 'Nurse,Ewan S.')",1
880,"('Lambert,Elisabeth', 'Xiong,Wenjuan')",1
881,"('Nurse,Ewan S.', 'Xiong,Wenjuan')",1
882,"('Berry,Brent M.', 'Brinkmann,Benjamin H.')",1
883,"('Berry,Brent M.', 'Iyer,Ravishankar K.')",1
884,"('Berry,Brent M.', 'Varatharajah,Yogatheesan')",1
885,"('Berry,Brent M.', 'Worrell,Gregory A.')",1
886,"('Brinkmann,Benjamin H.', 'Iyer,Ravishankar K.')",1
887,"('Iyer,Ravishankar K.', 'Varatharajah,Yogatheesan')",1
888,"('Iyer,Ravishankar K.', 'Worrell,Gregory A.')",1
889,"('Baud,Maxime O.', 'Schindler,Kaspar')",1
890,"('Proix,Timothee', 'Schindler,Kaspar')",1
891,"('Rao,Vikram R.', 'Schindler,Kaspar')",1
892,"('Cook,Mark J.', 'Cristofaro,Sabrina')",1
893,"('Cook,Mark J.', 'Detyniecki,Kamil')",1
894,"('Cook,Mark J.', 'French,Jacqueline A.')",1
895,"('Cook,Mark J.', 'Goldenholz,Shira R.')",1
896,"('Cook,Mark J.', 'Haut,Sheryl R.')",1
897,"('Cook,Mark J.', 'Hixson,John')",1
898,"('Cook,Mark J.', 'Kuzniecky,Ruben')",1
899,"('Cook,Mark J.', 'Lowenstein,Daniel')",1
900,"('Cook,Mark J.', 'Strashny,Alex')",1
901,"('Cristofaro,Sabrina', 'Detyniecki,Kamil')",1
902,"('Cristofaro,Sabrina', 'French,Jacqueline A.')",1
903,"('Cristofaro,Sabrina', 'Goldenholz,Daniel M.')",1
904,"('Cristofaro,Sabrina', 'Goldenholz,Shira R.')",1
905,"('Cristofaro,Sabrina', 'Haut,Sheryl R.')",1
906,"('Cristofaro,Sabrina', 'Hixson,John')",1
907,"('Cristofaro,Sabrina', 'Karoly,Philippa J.')",1
908,"('Cristofaro,Sabrina', 'Kuzniecky,Ruben')",1
909,"('Cristofaro,Sabrina', 'Lowenstein,Daniel')",1
