,bigrams,counts
105,"('Cook,Mark J.', 'Freestone,Dean R.')",8
106,"('Cook,Mark J.', 'Karoly,Philippa J.')",10
107,"('Freestone,Dean R.', 'Karoly,Philippa J.')",8
108,"('Archer,John', 'Berkovic,Samuel F.')",1
109,"('Archer,John', 'Cook,Mark J.')",1
110,"('Archer,John', ""D'Souza,Wendyl"")",1
111,"('Archer,John', 'Fabinyi,Gavin')",1
112,"('Archer,John', 'Himes,David')",1
113,"('Archer,John', 'Hosking,Sean')",1
114,"('Archer,John', 'Leyde,Kent')",1
115,"('Archer,John', 'Lightfoot,Paul')",1
116,"('Archer,John', 'Litewka,Lucas')",1
117,"('Archer,John', 'Morokoff,Andrew')",1
118,"('Archer,John', 'Murphy,Michael')",1
119,"('Archer,John', ""O'Brien,Terence J."")",1
120,"('Archer,John', 'Ruedebusch,Vanessa')",1
121,"('Archer,John', 'Sheffield,W. Douglas')",1
122,"('Archer,John', 'Snyder,David')",1
123,"('Archer,John', 'Yerra,Raju')",1
124,"('Berkovic,Samuel F.', 'Cook,Mark J.')",1
125,"('Berkovic,Samuel F.', ""D'Souza,Wendyl"")",1
126,"('Berkovic,Samuel F.', 'Fabinyi,Gavin')",1
127,"('Berkovic,Samuel F.', 'Himes,David')",1
128,"('Berkovic,Samuel F.', 'Hosking,Sean')",1
129,"('Berkovic,Samuel F.', 'Leyde,Kent')",1
130,"('Berkovic,Samuel F.', 'Lightfoot,Paul')",1
131,"('Berkovic,Samuel F.', 'Litewka,Lucas')",1
132,"('Berkovic,Samuel F.', 'Morokoff,Andrew')",1
133,"('Berkovic,Samuel F.', 'Murphy,Michael')",1
134,"('Berkovic,Samuel F.', ""O'Brien,Terence J."")",1
135,"('Berkovic,Samuel F.', 'Ruedebusch,Vanessa')",1
136,"('Berkovic,Samuel F.', 'Sheffield,W. Douglas')",1
137,"('Berkovic,Samuel F.', 'Snyder,David')",1
138,"('Berkovic,Samuel F.', 'Yerra,Raju')",1
139,"('Cook,Mark J.', ""D'Souza,Wendyl"")",3
140,"('Cook,Mark J.', 'Fabinyi,Gavin')",1
141,"('Cook,Mark J.', 'Himes,David')",1
142,"('Cook,Mark J.', 'Hosking,Sean')",1
143,"('Cook,Mark J.', 'Leyde,Kent')",2
144,"('Cook,Mark J.', 'Lightfoot,Paul')",1
145,"('Cook,Mark J.', 'Litewka,Lucas')",1
146,"('Cook,Mark J.', 'Morokoff,Andrew')",1
147,"('Cook,Mark J.', 'Murphy,Michael')",2
148,"('Cook,Mark J.', ""O'Brien,Terence J."")",1
149,"('Cook,Mark J.', 'Ruedebusch,Vanessa')",1
150,"('Cook,Mark J.', 'Sheffield,W. Douglas')",1
151,"('Cook,Mark J.', 'Snyder,David')",1
152,"('Cook,Mark J.', 'Yerra,Raju')",1
153,"(""D'Souza,Wendyl"", 'Fabinyi,Gavin')",1
154,"(""D'Souza,Wendyl"", 'Himes,David')",1
155,"(""D'Souza,Wendyl"", 'Hosking,Sean')",1
156,"(""D'Souza,Wendyl"", 'Leyde,Kent')",1
157,"(""D'Souza,Wendyl"", 'Lightfoot,Paul')",1
158,"(""D'Souza,Wendyl"", 'Litewka,Lucas')",1
159,"(""D'Souza,Wendyl"", 'Morokoff,Andrew')",1
160,"(""D'Souza,Wendyl"", 'Murphy,Michael')",2
161,"(""D'Souza,Wendyl"", ""O'Brien,Terence J."")",1
162,"(""D'Souza,Wendyl"", 'Ruedebusch,Vanessa')",1
